

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = P or A
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415883_a_at	14.0326	A	0.567627
1415884_at	264.962	A	0.246094
1415885_at	12.3888	A	0.870361
1415886_at	1033.2	P	0.000732422
1415887_at	9005.82	P	0.000244141
1415888_at	6097.13	P	0.000244141
1415889_a_at	14777.7	P	0.000244141
1415890_at	1443.61	P	0.000244141
1415891_at	7176.16	P	0.000244141
1415892_at	916.385	P	0.000244141
1415893_at	393.679	P	0.000732422
1415894_at	461.489	P	0.0141602
1415895_at	1284.79	A	0.334473
1415896_x_at	234.296	A	0.567627
1415897_a_at	20.838	A	0.246094
1415898_at	9.09165	A	0.696289
1415899_at	7256.27	P	0.000244141
1415900_a_at	261.506	P	0.0141602
1415901_at	1223.04	A	0.067627
1415902_at	10.2029	A	0.932373
1415903_at	2246.92	P	0.000244141
1415904_at	346.211	P	0.00195313
1415905_at	68.3626	A	0.129639
1415906_at	90187.4	P	0.000244141
1415907_at	6596.01	P	0.000244141
1415908_at	4569.99	P	0.000244141
1415909_at	4258.25	P	0.000244141
1415910_s_at	1457.06	P	0.0012207
1415911_at	827.185	P	0.000244141
1415912_a_at	41913.5	P	0.000244141
1415913_at	488.993	P	0.0141602
1415914_at	21642.5	P	0.000244141
1415915_at	5417.17	P	0.000244141
1415916_a_at	2369.71	P	0.000732422
1415917_at	1309.91	P	0.000244141
1415918_a_at	45676.3	P	0.000244141
1415919_at	307.757	P	0.0239258
1415920_at	6356.75	P	0.000244141
1415921_a_at	125.377	P	0.0375977
1415922_s_at	1102.75	P	0.000244141
1415923_at	54.1404	A	0.246094
1415924_at	11.7074	A	0.601074
1415925_a_at	3223.98	P	0.000732422
1415926_at	4462.79	P	0.000244141
1415927_at	100.093	A	0.0952148
1415928_a_at	9438.95	P	0.000244141
1415929_at	7741.11	P	0.000244141
1415930_a_at	17437.5	P	0.000244141
1415931_at	13.6541	A	0.828613
1415932_x_at	700.945	P	0.00415039
1415933_a_at	37971.3	P	0.000244141
1415934_at	2299.52	P	0.000244141
1415935_at	25.8359	A	0.533936
1415936_at	42.1938	A	0.0952148
1415937_s_at	1641.97	P	0.000244141
1415938_at	44.3944	A	0.366211
1415939_at	23.5322	A	0.753906
1415940_at	1447.04	P	0.000244141
1415941_s_at	967.866	P	0.000732422
1415942_at	67943.7	P	0.000244141
1415943_at	245.046	A	0.0805664
1415944_at	93.1713	A	0.366211
1415945_at	2852.16	P	0.000244141
1415946_at	1715	P	0.000244141
1415947_at	1775.73	P	0.000244141
1415948_at	669.363	P	0.00415039
1415949_at	839.924	P	0.000244141
1415950_a_at	13749.5	P	0.000732422
1415951_at	18.7103	A	0.850342
1415952_at	2244.84	P	0.000244141
1415953_s_at	1294.17	P	0.000244141
1415954_at	2.25409	A	0.998779
1415955_x_at	127.415	A	0.398926
1415956_a_at	696.975	P	0.0375977
1415957_a_at	6166.45	P	0.000244141
1415958_at	58.0249	A	0.696289
1415959_at	10.843	A	0.932373
1415960_at	54.2816	A	0.366211
1415961_at	7086.55	P	0.000244141
1415962_at	36030.9	P	0.000244141
1415963_at	9771.94	P	0.000244141
1415964_at	2198.8	P	0.000244141
1415965_at	761.617	P	0.000244141
1415966_a_at	5030.49	P	0.000488281
1415967_at	4988	P	0.00195313
1415968_a_at	206.969	P	0.0141602
1415969_s_at	1.61896	A	0.870361
1415970_at	29215.9	P	0.000244141
1415971_at	1076.47	P	0.000244141
1415972_at	389.985	P	0.000732422
1415973_at	595.985	P	0.00292969
1415974_at	2930.2	P	0.000244141
1415975_at	932.118	P	0.000244141
1415976_a_at	725.273	P	0.00195313
1415977_at	890.478	P	0.000732422
1415978_at	11.0024	A	0.665527
1415979_x_at	75253	P	0.000244141
1415980_at	18318.2	P	0.000244141
1415981_at	3402.71	P	0.000244141
1415982_at	1883.86	P	0.000244141
1415983_at	30918.5	P	0.000244141
1415984_at	6994.75	P	0.000244141
1415985_at	5444.65	P	0.000244141
1415986_at	2381.19	P	0.000244141
