

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = NA
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415967_at	5719	P	0.00195313
1415968_a_at	122.056	A	0.0805664
1415969_s_at	14.1923	A	0.633789
1415970_at	35817.4	P	0.000244141
1415971_at	6811.26	P	0.000244141
1415972_at	2311.29	P	0.000244141
1415973_at	3440.27	P	0.000732422
1415974_at	2669.91	P	0.000244141
1415975_at	1282.04	P	0.000244141
1415976_a_at	2291.01	P	0.000244141
1415977_at	1181.02	P	0.000732422
1415978_at	10.8264	A	0.665527
1415979_x_at	70021.9	P	0.000244141
1415980_at	22427.4	P	0.000244141
1415981_at	2653.86	P	0.000244141
1415982_at	1405.3	P	0.000244141
1415983_at	34322.2	P	0.000244141
1415984_at	4766.02	P	0.000244141
1415985_at	5744.54	P	0.000244141
1415986_at	2116.99	P	0.000244141
1415987_at	4325.53	P	0.000244141
1415988_at	1315.22	P	0.000244141
1415989_at	63.9582	A	0.246094
1415990_at	22693.2	P	0.000244141
1415991_a_at	4640.03	P	0.000244141
1415992_at	786.514	P	0.000732422
1415993_at	4779.88	P	0.000244141
1415994_at	74.7608	A	0.129639
1415995_at	3419.7	P	0.000244141
1415996_at	25109.7	P	0.000244141
1415997_at	14366.5	P	0.000244141
1415998_at	11968.9	P	0.000244141
1415999_at	191.672	A	0.27417
1416000_a_at	27336.7	P	0.000244141
1416001_a_at	3037.99	P	0.00195313
1416002_x_at	3650.78	P	0.000244141
1416003_at	1.57384	A	0.828613
1416004_at	19746.6	P	0.000244141
1416005_at	6263.07	P	0.000244141
1416006_at	347.609	A	0.0805664
1416007_at	25338.4	P	0.000244141
1416008_at	17148.6	P	0.000244141
1416009_at	1480.21	P	0.000244141
1416010_a_at	1947.74	P	0.000244141
1416011_x_at	1104.39	P	0.000244141
1416012_at	260.701	A	0.27417
1416013_at	3143.13	P	0.000732422
1416014_at	3263.32	P	0.000244141
1416015_s_at	5252.2	P	0.000244141
1416016_at	5030.04	P	0.000732422
1416017_at	846.591	P	0.0461426
1416018_at	3630.41	P	0.000732422
1416019_at	2091.12	P	0.000244141
1416020_a_at	8118.4	P	0.000244141
1416021_a_at	17143.2	P	0.000244141
1416022_at	6825.23	P	0.000244141
1416023_at	77.5099	P	0.0239258
1416024_x_at	19840.7	P	0.000244141
1416025_at	9.59349	A	0.850342
1416026_a_at	61984.5	P	0.000244141
1416027_at	11128.3	P	0.000244141
1416028_a_at	11456	P	0.000244141
1416029_at	2108.85	P	0.000244141
1416030_a_at	7984.69	P	0.000244141
1416031_s_at	5956.97	P	0.000244141
1416032_at	1211.89	P	0.000732422
1416033_at	272.741	P	0.000732422
1416034_at	153.216	P	0.00195313
1416035_at	10579.1	P	0.000244141
1416036_at	26375.5	P	0.000244141
1416037_a_at	28910.7	P	0.000244141
1416038_at	4020.72	P	0.000244141
1416039_x_at	83.3452	A	0.334473
1416040_at	7.56681	A	0.919434
1416041_at	4304.13	P	0.000244141
1416042_s_at	4981.36	P	0.000244141
1416043_at	9.44044	A	0.5
1416044_at	5056.31	P	0.000244141
1416045_a_at	2849.43	P	0.000244141
1416046_a_at	2273.62	P	0.000244141
1416047_at	9.83731	A	0.780518
1416048_at	1572.28	P	0.000244141
1416049_at	10.8754	A	0.943848
1416050_a_at	1236.59	P	0.000244141
1416051_at	8.5436	A	0.904785
1416052_at	3700.11	P	0.000244141
1416053_at	4.31498	A	0.932373
1416054_at	61909.3	P	0.000244141
1416055_at	54.4416	A	0.129639
1416056_a_at	24035.7	P	0.000244141
1416057_at	19092.1	P	0.000244141
1416058_s_at	36436.9	P	0.000244141
1416059_at	4324.32	P	0.000244141
1416060_at	7918.86	P	0.000244141
1416061_at	4673.92	P	0.000732422
1416062_at	1361.27	P	0.000244141
1416063_x_at	39.0111	A	0.366211
1416064_a_at	33776.8	P	0.000244141
1416065_a_at	6037.62	P	0.000244141
1416066_at	18.0625	A	0.633789
