

#ID_REF = 
#VALUE = MAS5
ID_REF	VALUE
1416371_at	4.9
1416372_at	1262.5
1416373_at	139.9
1416374_at	1239.2
1416375_at	76
1416376_at	165.3
1416377_at	327.4
1416378_at	152.3
1416379_at	994
1416380_at	261.6
1416381_a_at	1703.9
1416382_at	788.5
1416383_a_at	19.2
1416384_a_at	1442.6
1416385_a_at	1979.3
1416386_a_at	1658.1
1416387_at	1325.7
1416388_at	271.4
1416389_a_at	343.4
1416390_at	19.5
1416391_at	1646.9
1416392_a_at	563.9
1416393_at	2164.4
1416394_at	3821.4
1416395_at	460.1
1416396_at	18.5
1416397_at	22.6
1416398_at	7.4
1416399_a_at	1028.1
1416400_at	145.3
1416401_at	3113.3
1416402_at	182.4
1416403_at	46
1416404_s_at	8036.6
1416405_at	5.4
1416406_at	342.7
1416407_at	234
1416408_at	148.3
1416409_at	220.4
1416410_at	242.6
1416411_at	8.5
1416412_at	707.3
1416413_at	7.3
1416414_at	7.2
1416415_a_at	4792.5
1416416_x_at	17.2
1416417_a_at	9111.8
1416418_at	502.5
1416419_s_at	733.4
1416420_a_at	8156.6
1416421_a_at	2681.1
1416422_a_at	564.4
1416423_x_at	212.7
1416424_at	129.5
1416425_at	157.7
1416426_at	537.2
1416427_at	804.4
1416428_at	562.7
1416429_a_at	1072.7
1416430_at	550.1
1416431_at	159.7
1416432_at	546.9
1416433_at	801.6
1416434_at	0.3
1416435_at	5.3
1416436_a_at	138.6
1416437_a_at	637.8
1416438_at	3026
1416439_at	965
1416440_at	1541.8
1416441_at	17.2
1416442_at	207.1
1416443_a_at	989.4
1416444_at	2.3
1416445_at	593.4
1416446_at	905.9
1416447_at	464
1416448_at	70
1416449_x_at	1735.9
1416450_at	49.3
1416451_s_at	298.7
1416452_at	392.8
1416453_x_at	8643.6
1416454_s_at	39.2
1416455_a_at	6.2
1416456_a_at	27.9
1416457_at	32.9
1416458_at	314.4
1416459_at	42.1
1416460_at	0.8
1416461_at	1807.1
1416462_at	1879.5
1416463_at	98.7
1416464_at	59.3
1416465_a_at	1796
1416466_at	1210.8
1416467_at	3122
1416468_at	0.6
1416469_at	121
1416470_a_at	1343.1
1416471_at	373.6
1416472_at	464.5
1416473_a_at	13.9
1416474_at	0.2
1416475_at	1103.5
1416476_a_at	1286.9
1416477_at	3201.6
1416478_a_at	2853.6
1416479_a_at	867.6
1416480_a_at	1753.3
1416481_s_at	191
1416482_at	169.9
1416483_at	504.5
1416484_at	412.2
1416485_at	2628.4
1416486_at	1434.3
1416487_a_at	11.4
1416488_at	848.8
1416489_at	65.1
1416490_at	5.7
1416491_at	25.9
1416492_at	178.6
1416493_at	1814.7
1416494_at	355.4
1416495_s_at	1592.3
1416496_at	5585.2
1416497_at	823.8
1416498_at	390.1
1416499_a_at	1169.8
1416500_at	826.5
1416501_at	1352.6
1416502_a_at	628.1
1416503_at	361.2
1416504_at	92.1
1416505_at	143.4
1416506_at	4595.8
1416507_at	64.2
1416508_at	1301.4
1416509_at	2882.7
1416510_at	836.3
1416511_a_at	53.2
1416512_at	491.1
1416513_at	24.5
1416514_a_at	94.6
1416515_at	24.1
1416516_at	1.7
1416517_at	372.5
1416518_at	0.7
1416519_at	9805.5
1416520_x_at	6728.9
1416521_at	5615
1416522_a_at	3085.2
1416523_at	0.8
1416524_at	1086.4
1416525_at	676.5
1416526_a_at	4131.6
1416527_at	18.1
1416528_at	5675
1416529_at	261.9
1416530_a_at	525.4
1416531_at	98.9
1416532_at	441.4
1416533_at	1429
1416534_at	693.4
1416535_at	264.4
1416536_at	223.9
1416537_at	87.1
1416538_at	108.6
1416539_at	57.1
1416540_at	230.3
1416541_at	168.5
1416542_at	101.2
1416543_at	807.5
1416544_at	1406.7
1416545_at	898.6
1416546_a_at	7781.8
1416547_at	2517.7
1416548_at	97.5
1416549_at	214.6
1416550_at	356.1
1416551_at	158.2
1416552_at	8.9
1416553_at	417.1
1416554_at	1333.1
1416555_at	2647.8
1416556_at	2377.3
1416557_a_at	550.1
1416558_at	77
1416559_at	505.8
1416560_at	2
1416561_at	0.6
1416562_at	1.3
1416563_at	183.7
1416564_at	5.3
1416565_at	4447.8
1416566_at	1261.1
1416567_s_at	4686.7
1416568_a_at	720.8
1416569_at	307.1
1416570_s_at	618.9
1416571_at	74.5
1416572_at	22.9
1416573_at	175.8
1416574_at	912.8
1416575_at	30
1416576_at	203.9
1416577_a_at	8925.9
1416578_at	278.7
1416579_a_at	227.1
1416580_a_at	1956.2
1416581_at	615.8
1416582_a_at	665.8
1416583_at	469.9
1416584_at	374.6
1416585_at	941.4
1416586_at	89
1416587_a_at	341.4
1416588_at	9.2
1416589_at	1.1
1416590_a_at	26
1416591_at	0.5
1416592_at	582.7
1416593_at	351.5
1416594_at	0.4
1416595_at	540.9
1416596_at	12.1
1416597_at	345.1
1416598_at	18.6
1416599_at	15.7
1416600_a_at	408.3
1416601_a_at	66.3
1416602_a_at	542.4
1416603_at	7446.9
1416604_at	1480.1
1416605_at	283.6
1416606_s_at	2365.6
1416607_at	65.8
1416608_a_at	1635.7
1416609_at	947.9
1416610_a_at	631.8
1416611_at	493.5
1416612_at	1.2
1416613_at	7.8
1416614_at	804.4
1416615_at	164.1
1416616_s_at	671.8
1416617_at	566.6
1416618_at	245.1
1416619_at	872.7
1416620_at	179.4
1416621_at	223
1416622_at	192.7
1416623_at	64.1
1416624_a_at	10307
1416625_at	2.7
1416626_at	0.5
1416627_at	70.9
1416628_at	545.8
1416629_at	623
1416630_at	1024
1416631_at	113
1416632_at	5.8
1416633_a_at	1578.7
1416634_at	1015.9
1416635_at	1385.1
1416636_at	759.7
1416637_at	318.3
1416638_at	142.2
1416639_at	2.4
1416640_at	13
1416641_at	599.3
1416642_a_at	9402.5
1416643_at	0.4
1416644_a_at	10.7
1416645_a_at	143.9
1416646_at	96.2
1416647_at	44.6
1416648_at	2110.8
1416649_at	11.6
1416650_at	0.3
1416651_at	139.9
1416652_at	9.7
1416653_at	1590.9
1416654_at	132.4
1416655_at	579.6
1416656_at	3465
1416657_at	207.6
1416658_at	17.3
1416659_at	2364.1
1416660_at	5058.7
1416661_at	2233.9
1416662_at	2.2
1416663_at	1871.8
1416664_at	112.1
1416665_at	140.3
1416666_at	41.7
1416667_at	536.6
1416668_at	498.7
1416669_s_at	7572.9
1416670_at	691.2
1416671_a_at	122.7
1416672_s_at	283.4
1416673_at	369.9
1416674_at	11.6
1416675_s_at	12
1416676_at	1.5
1416677_at	1.2
1416678_at	750.7
1416679_at	655.9
1416680_at	2400.7
1416681_at	249
1416682_at	195.4
1416683_at	4.2
1416684_at	1566.2
1416685_s_at	2176.1
1416686_at	16.7
1416687_at	35.5
1416688_at	3.6
1416689_at	25.3
1416690_at	681.1
1416691_at	122.1
1416692_at	37
1416693_at	1
1416694_at	0.3
1416695_at	843
1416696_at	408.7
1416697_at	1700.7
1416698_a_at	1901.6
1416699_at	910.2
1416700_at	7.8
1416701_at	1.3
1416702_at	171.6
1416703_at	2726.7
1416704_at	866.1
1416705_at	227.1
1416706_at	608.3
1416707_a_at	11
1416708_a_at	884.8
1416709_a_at	300.4
1416710_at	8.9
1416711_at	7.7
1416712_at	256
1416713_at	67.5
1416714_at	220.4
1416715_at	1.9
1416716_at	2.2
1416717_at	0.8
1416718_at	4.9
1416719_a_at	5085
1416720_at	1007.3
1416721_s_at	2216
1416722_at	624.3
1416723_at	43.9
1416724_x_at	131.9
1416725_at	1.7
1416726_s_at	900.8
1416727_a_at	980.9
1416728_at	2212.8
1416729_at	0.4
1416730_at	472.1
1416731_at	1059.7
1416732_at	1566.2
1416733_at	633.3
1416734_at	42.5
1416735_at	845.1
1416736_at	665.1
1416737_at	80.2
1416738_at	1496.4
1416739_a_at	396.3
1416740_at	15.2
1416741_at	1.7
1416742_at	1723.1
1416743_at	356.8
1416744_at	5.2
1416745_x_at	0.8
1416746_at	479.7
1416747_at	222
1416748_a_at	468.5
1416749_at	11.7
1416750_at	153.5
1416751_a_at	256.2
