

#ID_REF = 
#VALUE = MAS5.0 signal intensity
#ABS_CALL = A or P
#DETECTION P-VALUE = 
ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
1415894_at	46.3	A	0.219482
1415895_at	719.8	A	0.303711
1415896_x_at	98.3	A	0.665527
1415897_a_at	38.1	A	0.303711
1415898_at	5.5	A	0.5
1415899_at	2857.3	P	0.000244
1415900_a_at	8.4	A	0.601074
1415901_at	439.7	M	0.056152
1415902_at	5.4	A	0.981445
1415903_at	808.5	P	0.000732
1415904_at	16.6	A	0.633789
1415905_at	71	A	0.095215
1415906_at	106275.2	P	0.000244
1415907_at	3381.1	P	0.000244
1415908_at	1565.3	P	0.000244
1415909_at	2568.4	P	0.000244
1415910_s_at	613.8	P	0.023926
1415911_at	620.6	P	0.001221
1415912_a_at	35927.4	P	0.000244
1415913_at	1268.4	P	0.000244
1415914_at	12031.8	P	0.000244
1415915_at	1878.3	P	0.000244
1415916_a_at	1165.9	P	0.000244
1415917_at	847.8	P	0.00293
1415918_a_at	2409	P	0.000732
1415919_at	47.6	A	0.095215
1415920_at	3153.2	P	0.000244
1415921_a_at	91.2	P	0.046143
1415922_s_at	259.2	P	0.001221
1415923_at	17.5	A	0.624756
1415924_at	1.1	A	0.943848
1415925_a_at	751.6	P	0.001221
1415926_at	1177	P	0.000244
1415927_at	28.3	A	0.398926
1415928_a_at	2565	P	0.000244
1415929_at	2096.9	P	0.000244
1415930_a_at	6981.2	P	0.000244
1415931_at	35.4	A	0.334473
1415932_x_at	162.6	P	0.046143
1415933_a_at	11776	P	0.000244
1415934_at	1386.8	P	0.000244
1415935_at	2.1	A	0.774414
1415936_at	17.2	A	0.398926
1415937_s_at	528.4	P	0.000244
1415938_at	30.9	A	0.366211
1415939_at	13	A	0.633789
1415940_at	443.9	P	0.000732
1415941_s_at	375.4	P	0.001221
1415942_at	58336.9	P	0.000244
1415943_at	37.8	A	0.27417
1415944_at	66.1	A	0.601074
1415945_at	689.8	P	0.00293
